reading  from file input/AML-116-001_input.csv
rows: 1669
cols: 3
input zeros:3378
input ones:1421
input missing:208
total fp flips allowed:35
adding objective
 ! ----------------------------------------------------------------------------
 ! Minimization problem - 5011 variables, 19000 constraints, 1 phase
 ! Presolve      : 2 extractables eliminated
 ! TimeLimit            = 900
 ! Workers              = 1
 ! LogPeriod            = 10000
 ! Initial process time : 0.12s (0.12s extraction + 0.00s propagation)
 !  . Log search space  : 4808.9 (before), 4808.9 (after)
 !  . Memory usage      : 9.2 MB (before), 9.2 MB (after)
 ! Using sequential search.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed            Branch decision
 ! ----------------------------------------------------------------------------
 ! Minimization problem - 5011 variables, 19000 constraints, 1 phase
 ! Presolve      : 2 extractables eliminated
 ! TimeLimit            = 900
 ! Workers              = 1
 ! LogPeriod            = 10000
 ! Initial process time : 0.00s (0.00s extraction + 0.00s propagation)
 !  . Log search space  : 4808.9 (before), 4808.9 (after)
 !  . Memory usage      : 9.2 MB (before), 9.2 MB (after)
 ! Using sequential search.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed            Branch decision
                        0       5011                 -
 + New bound is 0
                        6       1424        F     2  = _int5007
 + New bound is 1
 *           331     1952  0.15s               (gap is 99.70%)
             331    10000          1              1  = _int1253
             331    20000          1              0  = _int3935
 *           279    20782  1.01s               (gap is 99.64%)
 *           140    21312  1.13s               (gap is 99.29%)
 *            70    21595  1.21s               (gap is 98.57%)
              70    30000          1              0  = _int967
 *            68    38227  3.66s               (gap is 98.53%)
              68    40000        110              0  = _int3574
 *            64    49097  5.63s               (gap is 98.44%)
              64    50000       1668              0  = _int4392
 *            44    56037  6.69s               (gap is 97.73%)
              44    60000          1              1  = _int4740
              44    70000       1332              0  = _int2466
 *            41    70881  8.92s               (gap is 97.56%)
              41    80000          1              0  = _int3307
              41    90000       1551              0  = _int3317
              41     100k       1301              0  = _int1183
 ! Time = 13.66s, Average fail depth = 330, Memory usage = 38.9 MB
 ! Current bound is 1 (gap is 97.56%)
 !          Best Branches  Non-fixed            Branch decision
              41     110k       1296        F     0  = _int1828
 *            39     112k  15.37s              (gap is 97.44%)
 *            38     119k  16.25s              (gap is 97.37%)
              38     120k          1              1  = _int487
              38     130k       1512              0  = _int3429
              38     140k       1476        F     1  = _int1497
              38     150k       1636              0  = _int3280
 *            37     159k  20.98s              (gap is 97.30%)
              37     160k       1496              0  = _int2622
              37     170k       1651              0  = _int3113
              37     180k       1503              0  = _int2142
              37     190k       1555              0  = _int3958
              37     200k       1654              0  = _int3351
 *            36     207k  26.41s              (gap is 97.22%)
              36     210k       1670        F     0  = _int1294
 *            35     216k  27.24s              (gap is 97.14%)
              35     220k       1662              0  = _int1747
              35     230k       1651              0  = _int4149
              35     240k       1648              0  = _int4296
              35     250k       1567              0  = _int4507
 ! Time = 30.79s, Average fail depth = 554, Memory usage = 39.1 MB
 ! Current bound is 1 (gap is 97.14%)
 !          Best Branches  Non-fixed            Branch decision
              35     260k       1613              0  = _int2318
              35     270k       1867             35  = _int5010
              35     280k       1867              1  = _int5007
              35     290k       1912              0  = _int350
              35     300k       1756              0  = _int2677
              35     310k       1701        F     1  = _int1026
              35     320k       1701        F     1  = _int1828
              35     330k       1955              0  = _int2406
              35     340k       1764              0  = _int1251
              35     350k       1833              0  = _int2189
              35     360k       1988              0  = _int4750
              35     370k       1884              0  = _int2741
              35     380k       1923              0  = _int3933
              35     390k       1984              0  = _int974
              35     400k       1893              0  = _int197
              35     410k       1897              0  = _int3910
              35     420k       2056              0  = _int2196
              35     430k       2037              0  = _int632
              35     440k       2012              0  = _int3514
              35     450k       2069              0  = _int1337
 ! Time = 53.14s, Average fail depth = 666, Memory usage = 39.1 MB
 ! Current bound is 1 (gap is 97.14%)
 !          Best Branches  Non-fixed            Branch decision
              35     460k       1732              0  = _int2289
              35     470k       1883              0  = _int3793
              35     480k       1911              0  = _int2351
              35     490k       1970              0  = _int680
              35     500k       2019              0  = _int4425
              35     510k       2020        F     1  = _int1375
              35     520k       1901              0  = _int197
              35     530k       2094              0  = _int1452
              35     540k       2027              1  = _int1086
              35     550k       1897              0  = _int2343
              35     560k       2033              0  = _int3342
              35     570k       2039              0  = _int3448
              35     580k       2100        F     0  = _int4874
              35     590k       2055              0  = _int688
              35     600k       2067              0  = _int809
              35     610k       2068              0  = _int2251
              35     620k       2116              0  = _int3916
              35     630k       2134              0  = _int3985
              35     640k       2092              1  = _int578
              35     650k       2094              0  = _int3808
 ! Time = 75.89s, Average fail depth = 699, Memory usage = 39.1 MB
 ! Current bound is 1 (gap is 97.14%)
 !          Best Branches  Non-fixed            Branch decision
              35     660k       2127              1  = _int3540
